<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20210101,000000,90.1640000,90.1640000,90.1640000,90.1640000,16
EURRUB,D,20210103,000000,90.5872000,91.2070000,90.2920000,91.1150000,80
EURRUB,D,20210104,000000,91.0730000,91.2860000,89.6040000,91.2840000,334560
EURRUB,D,20210105,000000,91.2670000,92.3585000,90.6328000,91.2180000,367120
EURRUB,D,20210106,000000,91.3100000,91.4630000,90.4680000,91.4520000,428140
EURRUB,D,20210107,000000,91.4290000,91.9413000,90.4950000,91.2270000,171123
EURRUB,D,20210108,000000,91.5310000,91.5470000,90.1888000,90.2130000,409485
EURRUB,D,20210110,000000,90.7248000,90.7248000,90.0730000,90.0880000,197
EURRUB,D,20210111,000000,90.1720000,91.1109000,90.0150000,90.7940000,317479
EURRUB,D,20210112,000000,90.7640000,90.8030000,89.3336000,89.5936000,316152
EURRUB,D,20210113,000000,89.5366000,90.2860000,89.3617000,89.8560000,309367
EURRUB,D,20210114,000000,89.6790000,89.8686000,88.7456000,89.1010000,272422
